Supplier ID ,Item Number,Qty On Hand,Qty Backordered,Qty On Order,Item Next Availability Date,Item Discontinued ,Item Description
35618,FA-CM-OT1801-CH-2PK,4,,,,,Aster Set of 2 Yard Garden Outdoor Living Chairs Curved Cast Iron Blue & Black
35618,FA-CM-FC618L-BK,0,,,,1,Barcelos Modern Office Executive Computer Task Chair Padded PU Metal Base Black
35618,FA-CM-FC618L-GY,0,,,12/1/2017,,Barcelos Modern Office Executive Computer Task Chair Padded PU Metal Base Grey
35618,FA-CM-FC618L-WH,0,,,,1,Barcelos Modern Office Executive Computer Task Chair Padded PU Metal Base White
35618,FA-CM-OB1806,5,,,,,Alba Outdoor Park Patio Park Bench Floral Bird Backrest Slated Seat Antique Oak
35618,FA-CM3984DK-SC-2PK,5,,,,,Set of 2 Brent Dining Side Chair Brown Padded Leatherette Seat Dark Cherry Wood
35618,FA-CM-FC624,5,,,,,Sibley Office Executive Computer Chair Brown Padded PU Leather Seat High Back
35618,FA-CM-FC601,4,,,,,Compact Simple Office Computer Task Executive Chair Padded Leatherette Black
35618,FA-CM-FC602,5,,,,,Stratford Office Computer Task Executive Chair Comfort Padded Leatherette Black
35618,FA-CM-FC603,5,,,,,Cloverdale Office Computer Task Executive Chair Padded Seat Mesh Back Black
35618,FA-CM-FC635OR,2,,,,,Crofter Office Computer Task Executive Height Adjustable Chair Orange Fabric Seat
35618,FA-CM-FC635BL,0,,,12/1/2017,,Crofter Office Computer Task Executive Height Adjustable Chair Blue Fabric Seat
35618,FA-CM-FC635GR,3,,,,,Crofter Office Computer Task Executive Height Adjustable Chair Green Fabric Seat
35618,FA-CM-FC635GY,0,,,12/1/2017,,Crofter Office Computer Task Executive Height Adjustable Chair Gray Fabric Seat
35618,FA-CM-FC635PR,0,,,12/1/2017,,Crofter Office Computer Task Executive Height Adjustable Chair Purple Fabric Seat
35618,FA-CM-FC635RD,0,,,12/1/2017,,Crofter Office Computer Task Executive Height Adjustable Chair Red Fabric Seat
35618,FA-CM-AC6228BK,5,,,,,Rolla Fun Kids Teens Storage Padded Seat Stool Chair High Gloss Black Color
35618,FA-CM-AC6228RD,2,,,,,Rolla Fun Kids Teens Storage Padded Seat Stool Chair High Gloss Rde Color
35618,FA-CM-AC6228WH,5,,,,,Rolla Fun Kids Teens Storage Padded Seat Stool Chair High Gloss White Color
